dt,click_type,click_nums
20180726,0,24791
20180726,1,1283
20180726,10,2937
20180726,12,3617
20180726,13,2131
20180726,14,498
20180726,15,676
20180726,2,1378
20180726,3,30332
20180726,4,5337
20180726,5,10398
20180726,6,1605
20180726,7,734
20180726,8,6682
20180726,9,1567
20180727,0,23299
20180727,1,1303
20180727,10,3041
20180727,12,3799
20180727,13,2230
20180727,14,501
20180727,15,690
20180727,2,1350
20180727,3,31049
20180727,4,5202
20180727,5,10527
20180727,6,1599
20180727,7,672
20180727,8,6879
20180727,9,1643
20180728,0,23119
20180728,1,1278
20180728,10,3433
20180728,12,4316
20180728,13,2437
20180728,14,473
20180728,15,695
20180728,2,1390
20180728,3,27611
20180728,4,5354
20180728,5,11553
20180728,6,1586
20180728,7,742
20180728,8,7351
20180728,9,1823
20180729,0,22661
20180729,1,1282
20180729,10,3497
20180729,12,4207
20180729,13,2306
20180729,14,467
20180729,15,692
20180729,2,1493
20180729,3,27257
20180729,4,5440
20180729,5,11976
20180729,6,1642
20180729,7,731
20180729,8,7614
20180729,9,1848
20180730,0,22925
20180730,1,1239
20180730,10,3223
20180730,12,3953
20180730,13,2307
20180730,14,450
20180730,15,699
20180730,2,1337
20180730,3,30708
20180730,4,5400
20180730,5,10931
20180730,6,1597
20180730,7,701
20180730,8,7180
20180730,9,1671
20180731,0,22069
20180731,1,1091
20180731,10,3391
20180731,12,4232
20180731,13,2379
20180731,14,446
20180731,15,657
20180731,2,1390
20180731,3,28682
20180731,4,5233
20180731,5,11291
20180731,6,1593
20180731,7,662
20180731,8,7304
20180731,9,1684
20180801,0,22347
20180801,1,1027
20180801,10,3197
20180801,12,4026
20180801,13,2250
20180801,14,423
20180801,15,693
20180801,2,1322
20180801,3,27885
20180801,4,5224
20180801,5,11253
20180801,6,1534
20180801,7,641
20180801,8,7439
20180801,9,1595